id,room_id/id,day,date,temp,Strong/Weak
__export__.temp_log_196134_bd201015,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196131_7bca51bc,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196127_522915e3,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196128_be0919cf,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196126_d30b72fb,Room Admin,Sabtu,8-12-2018,31,Weak
__export__.temp_log_196125_b0fa0b41,Room Admin,Sabtu,8-12-2018,31,Weak
__export__.temp_log_196121_01544d45,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196122_f8b80a9f,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196111_6b7a0848,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196112_e134aebd,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196108_4a983c7e,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196108_4a983c7e,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196101_d5ec7633,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196099_3b8ef67b,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196095_788b2c27,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196096_eafb59b6,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196094_38501388,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196093_f0b3b649,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196090_b5f7ca9c,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196087_e04d9477,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196085_1e3e9e86,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196086_ab9ff962,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196082_e025abaa,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196081_db1796b5,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196080_911f4eef,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196079_7a0ef724,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196077_d97a0ff1,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196076_93e253c7,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196073_6cce2ad3,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196071_cfb015ff,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196065_a29349e0,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196063_5facf520,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196056_de074bc3,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196055_c4b4dac1,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196052_a206be15,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196050_3c252aff,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196048_e4e30610,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196047_da4d3971,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196039_a167c302,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196038_b58a003f,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196037_fdf98314,Room Admin,Sabtu,8-12-2018,30,Weak
__export__.temp_log_196035_689daecd,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196034_d592acf9,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196033_cec7562b,Room Admin,Sabtu,8-12-2018,30,Weak
__export__.temp_log_196026_8ad54b4f,Room Admin,Sabtu,8-12-2018,30,Weak
__export__.temp_log_196022_1b205f24,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196021_0ed345a9,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196020_dbaffc92,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196018_adf4ef79,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196016_20a6e7e2,Room Admin,Sabtu,8-12-2018,41,Strong
__export__.temp_log_196014_8d2b9031,Room Admin,Sabtu,8-12-2018,30,Weak
__export__.temp_log_196015_db31e3bc,Room Admin,Sabtu,8-12-2018,30,Weak
__export__.temp_log_196010_238d7f2d,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196011_5a5158ba,Room Admin,Sabtu,8-12-2018,42,Strong
__export__.temp_log_196003_7a23e92c,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_196000_3f2ed7ca,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_195999_728bba0f,Room Admin,Sabtu,8-12-2018,31,Weak
__export__.temp_log_195994_6650de18,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_195993_ca94691a,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_195983_fec1f952,Room Admin,Sabtu,8-12-2018,29,Weak
__export__.temp_log_195976_f524a948,Room Admin,Sabtu,8-12-2018,29,Weak
